text,label
Share my location with Hillary's sister,5
Send my current location to my father,5
Share my current location with Jim,5
Send my location to my husband,5
Send my location,5
Always share my location with Lori,5
Share my location with my boyfriend until I get home,5
Send my current location to Anna,5
Share my location with Steve for 3 days,5
Share my location to mum until I get to school,5
Share my location with my office manager until noon,5
Share my location with my Uber driver,5
Share my location with Robert for the next 10 min,5
Share my location with Jo until 8pm,5
Share my current location,5
Send my current location to the friends I'm meeting with,5
What's the best hotel between Soho Grand and Paramount Hotel?,0
What's the cheapest between the two restaurants the closest to my hotel?,0
What's the closest between Jo's and Lori's place?,0
Is my Airbnb closer than John's hotel?,0
Is The View more expensive than Masa?,0
What's the best between Le Bain and Marquee?,0
Is Vertigo Sky Lounge more expensive than the bar I usually go to in New York?,0
I'd like to know whether Galli is more expensive than Rao's,0
Is my favorite bar better than the Donut Pub?,0
Is Waldorf Astoria more luxurious than the Four Seasons?,0
What's the cheapest place between my favorite bar and Employees Only?,0
Is my hotel in NYC for this week better than the hotel I stayed in when I was in Chicago?,0
Is Soho Grand better than Paramount?,0
What's the cheapest place between Galli and The Smile?,0
Is Three Dots and a Dash cheaper than Lost Lake?,0
What is the closest theatre between Belasco Theatre and Majestic Theatre?,0
What is the most expensive restaurant between Per Se and Rao's?,0
"Which restaurant is the cheapest, Shake Shack or Five Guys ?",0
What is the cheapest restaurant between Balthazar and Lombardi's?,0
Show me photos of the bar I'm going to for Rand's birthday,4
Does the View has reserved parking?,4
How much is it to go to the top of Empire State Building?,4
Give me the phone number of the place I'm going to today,4
When is Rao's the most crowded?,4
What's the phone number of the Dead Rabbit?,4
Is there a parking at my hotel?,4
How crowded is Per Se right now?,4
What time does Pouring Ribbons open tonight?,4
How crowded is the bar near my place?,4
Is there wifi at the coffee place where I'm meeting with John?,4
What's the address of the place where I was yesterday night?,4
Is the Swan Oyster Depot cash-only?,4
Is there a wifi at The Smile?,4
Can I pay by credit card at Boom Boom Room?,4
What's the phone number of my hotel in Chicago next month?,4
Is Pates Et Traditions cash only?,4
Are there good tips to know when going to the Modern?,4
What's the price range for a dinner at Galli?,4
How far is Frying Pan from the Highline Ballroom?,4
Who is playing tonight at the Madison Square Garden?,4
What's planned at Slim's tonight?,4
Show me photos of Mondrian Soho,4
What time does Employees Only close?,4
I want to see photos of the place we're going to tonight,4
What's happening this week at Smalls Jazz Club?,4
Is there a children's menu at The Standard Grill?,4
Show me the Butcher's Daughter's menu,4
Give me the address of the biggest Wallmart in Boston area,4
Where's Irving Plaza located?,4
How expensive is the best French restaurant near work?,4
How far is the NoMad Bar?,4
How much does it cost to go to Disneyland?,4
How far am I from the Guggenheim museum?,4
Is there wifi at my Airbnb in London next week end?,4
Are there activities for children at Hard Rock Cafe?,4
Does the Butcher's Daughter serve vegetarian food only?,4
Can I park at Gershwin Theatre?,4
Give me the address of State Grill and bar,4
Show me the menu of the restaurant I booked for tonight,4
What are the opening hours of Please Don't Tell?,4
What's Lori's home address?,4
Where can I get tickets for a concert at Blue Note?,4
Are there some tips to know when going to Battery Park?,4
How much is a dinner at La Chine?,4
Give me Steve's address in Manhattan,4
Does Cafe Gitane have wifi?,4
What's today's menu at The Water Club?,4
When is it the quietest at Good Luck bar?,4
Is there valet parking at Kang Ho Dong Baekjeong?,4
Show me the cheapest cocktail bar near the hotel my sister stays in,3
Find me a restaurant similar to the one I went to yesterday evening,3
Show me the closest restaurants with all you can eat buffets,3
Find me a 3 stars restaurant in Los Angeles,3
I want to eat some fried chicken. Any suggestions?,3
What's the closest pizza restaurant around here?,3
Show me the top 5 French restaurants in Manhattan,3
Where can I eat the best burger in Soho?,3
Show me veggie restaurants nearby,3
Find me a salad bar I can go to for my lunch meeting,3
What's the best irish pub in hell's kitchen?,3
Find a store near Sia's place where I can buy champagne,3
Is there a place similar to Per Se in Williamsburg?,3
Find the top 3 family attractions in Hollywood not far from Angie's place,3
Find the best restaurants near my airbnb that serve brunch all day,3
Find me a romantic restaurant that serves good expensive wine near my girlfriend's work,3
Show me the best museums to visit near my London Airbnb,3
Find me a brunch spot in Lower Manhattan,3
Find me a coffee place similar to Starbucks that has gluten free food,3
Find me the cheapest seafood restaurant near the Golden Bridge,3
Find me a place that sells burritos in South Harlem,3
What are the fanciest clubs in New York?,3
Where is the nearest Starbucks?,3
Find me a good expensive japanese restaurant near work,3
Find a good fried chicken restaurant that is not a fast food,3
Find me the closest theatre for tonight,3
Show me the parks with swings and pony rides around my aunt's place,3
Find me the finest sushi restaurant in the area of my next meeting,3
Find me a table for four for dinner tonight,7
Book a table for today's lunch at Eggy's Diner for 3 people,7
Book a table at a restaurant near Times Square for 2 people tomorrow night,7
Book a table for friday 8pm for 2 people at Katz's Delicatessen,7
Book a table at Joan's on Third for my family reunion on Saturday,7
I'd like a table in a peaceful restaurant around Times Square,7
Book a table at Seven Hills for 6 people with a nice view,7
Book a table for 6 people at Mr Donahue's for tomorrow's lunch,7
Book a restaurant for 6 near my morning meeting tomorrow at 1pm,7
I want reservations to grab brunch for 5 in hells kitchen tomorrow,7
Book a table for Sophie and me at the Red Lobster tonight,7
Book a table for 3 people at a restaurant that serve tapas and wine for tonight,7
Book a table near my London hotel next Wednesday evening,7
Book me a table for 8:45pm at a restaurant with wifi near my Airbnb,7
Figure out if I can get a reservation at Ma Peche after the concert,7
Book a table for four people at Tapestry for 9pm tonight,7
Get me a spot at Ippudo for lunch,7
Book a table at the best chinese restaurant in town for today's lunch,7
Book a restaurant for brunch next Sunday,7
Book me a table for 2 people at the sushi place next to the show tomorrow night,7
Make a reservation for 4 people for today's lunch at Daniel,7
Book a table for four people at Mondrian Soho for 8pm,7
Get me a table at Din Tai Fung for the 4th of December at 12:30,7
Get me a table at a restaurant nearby that is not too crowded for tomorrow evening,7
Find me an outdoor table at Five leaves for 3,7
Get me a table at Delmonico's next monday at 8pm,7
We are a party of 4 people and we want to book a table at Seven Hills for sunset,7
I need reservations at Quince at 9:30,7
Make a reservation at Delmonico's on Saturday 8pm for 10 people,7
Book a table at an italian restaurant nearby for dinner with 5 people,7
Book a table at the nearest sushi restaurant for 2 for 1pm,7
Book me a table for 4 at Delmonico's around 8pm this friday,7
Is there a table for boozy brunch at around 11 nearby?,7
Need a table for lunch to eat steak near penn station,7
Get me a table at a restaurant near Emily's place for tomorrow 9pm,7
Book a table for 5 people at the restaurant I'm used to going to every week,7
Make a reservation for breakfast at Batter & Berries tomorrow,7
Get me a place near chelsea with good brunch cocktails tomorrow at 10,7
Book a table for two people at a restaurant near work,7
Table for a group of 12 near west village tomorrow? go!,7
I want a reservation for 5 at Alinea,7
Make a reservation for 4 people for today's lunch at a Starbucks nearby,7
Get me a table at a good deli near Mission Dolores Park for lunch,7
Please book a table at Delmonico's this evening for 3 at 8pm,7
I need a reservation for five people at Galli for friday night,7
"Can you make a reservation at a lebanese restaurant nearby, for lunch, party of 5?",7
See if there's a table outside for noon at that fried chicken restaurant I like,7
Book a table at Chops Lobster Bar for 5 people at 7:30pm,7
I want to find a reservation at an old red sauce joint at 6,7
Book a table for 3 people at the restaurant I went to last week,7
Make a reservation for 3 at the finest restaurant in the area where I was yesterday afternoon,7
I want a table in a good japanese restaurant near Trump tower,7
Table for two at Nobu New York tonight,7
Book a table at The Standard Grill for four people for the day after tomorrow at 8:30pm,7
Book for 4 people at Per Se for Tuesday evening,7
I want a table for friday 8pm for 2 people at Katz's Delicatessen,7
Need a table for 6,7
I want a reservation to get drinks after class tomorrow for 10,7
Book a table at an American restaurant for Thanksgiving,7
Book a table at Galli for 6 people tonight,7
Book for 4 at Nobu for tomorrow evening,7
Book a table for four people at La Chine for the 11th at 8pm,7
Book a table at Saddle Peak Lodge for my diner with friends tonight,7
Can I have a table at the Russian Tea Room for 4pm?,7
Book a table for 8 at Tavern on the Green for 8 pm,7
Need a table for 12 in 3 hours,7
Book a table for me and my girlfriend in a romantic restaurant for Valentine's day,7
Need a reservation for brunch for 5 in williamsburg near the bridge,7
Book me and my sister a spot at the milk bar place near the hotel she stays at in midtown,7
Book me a table for 4 at Delmonico's,7
Get a taxi to Emmit's Irish Pub,1
Get me a ride to the airport,1
Order a taxi for tomorrow 8am,1
Get a cab at my place right now,1
Order a taxi,1
I need a taxi for 6 to go to Audrey and Sam's wedding,1
Book an Uber to my next meeting,1
I need a taxi to catch my flight tomorrow morning,1
Book a cab,1
Book a taxi to go to Sebastian's,1
Find a taxi,1
I need a cab to go to work,1
I need a taxi in 5 minutes at 36 5th avenue,1
Book an Uber to home,1
Can you find me a ride at this hour?,1
Order a cab for 6 people,1
I need an Uber right now,1
Book me a ride at my current location,1
Order a cab at my mother's place to go to the LA stadium,1
Get an Uber to go to my dinner tonight,1
Book a Lyft car to go to 33 greene street,1
I want a taxi right now,1
Is there any Uber around?,1
Get a taxi to the nearest japanese restaurant,1
Order a cab at Shake Shack to go to the Empire State Building,1
Get a Lyft car at Scott's place,1
How do I go to Montauk avoiding tolls?,8
Directions to Disneyworld avoiding traffic,8
Show me the way to go to 33 Greene Street,8
Give me directions to my parents' place avoiding toll roads,8
Show me directions to my next meeting avoiding traffic,8
Quickest directions to go pick up my son at soccer practice,8
Show me directions to my yoga retreat avoiding the highway,8
Bicycling directions to Millenium park,8
Directions to La Guardia airport using Waze,8
Cycling directions to Chelsea Market,8
Cycling directions to my surf lesson at 10am,8
Show me the fastest itinerary to my Airbnb on a Friday night,8
Driving directions to Tavern on the Green,8
Transit directions to Barcelona Wine Bar,8
Navigate to Palo Alto avoiding traffic,8
Directions to JFK airport at 7am,8
How do I go back home?,8
Walking directions to my Christmas party with Citymapper,8
Get me directions to John's place if I leave at 6pm,8
Walking directions from home to my Halloween party stopping by a wine store,8
Directions to Tulsa with road 66,8
Show me the way to go to work,8
Give me transit directions from Grand Central to Brooklyn bridge,8
Navigate me to Empire State Building using the shortest way,8
Show me walking directions to MOMA,8
Get me directions to Las Vegas avoiding toll roads,8
Show me directions to Jersey City avoiding the highway,8
Show me the directions from the LA County Museum to Santa Monica,8
Directions to my beach house avoiding tolls,8
Show me directions to my hotel,8
Show me the fastest itinerary to go to Williamsburg,8
Fastest way to go to my next meeting,8
Directions to Joe's pub,8
I want to go to Boston with the quickest itinerary,8
Show me the way to Rand's birthday party by car,8
Share my ETA with Mary Jane,9
Send my ETA to the guy I'm meeting with,9
Share my time of arrival with my Airbnb host,9
Share my arrival time with Juan Carlos,9
Share my ETA with Jo,9
Share my estimated time of arrival with Lily,9
Send my time of arrival to Nina,9
Tell my friends what time I'll get there,9
Share with Franz my ETA,9
Send a message to John to tell him when I get there,9
Send my ETA to my girlfriend,9
Tell Valery how long it's gonna take to join her,9
Share my ETA with the guy who just called me,9
Share my ETA,9
Share my ETA with my data scientist,9
Share my estimated time of arrival with my mother,9
Send a message to Michael with my ETA,9
Share my ETA with the Snips team,9
Send my ETA to the girl I'm supposed to have dinner with,9
Send a message to Montgomery with my arrival time,9
Send my ETA to the guests of my apartment,9
Send a message to my boss with my ETA,9
Should I expect traffic from here to Kennedy international airport?,6
Any traffic problems to go to my dinner?,6
Any accidents from my Airbnb to Golden Gate Bridge?,6
Is there traffic from work to gym?,6
Is there traffic on my way to the gym?,6
How's traffic to go to my hotel?,6
How's the road on the 11th avenue?,6
I want to know if there is traffic to go to my upcoming meeting,6
Is there traffic jam on 6th avenue?,6
Any accidents to expect to go to my cousin's place?,6
How's the traffic from here to Jo's place?,6
Is there traffic on 8th avenue and west 14th street?,6
Shoud I expect traffic between broadway and prince street?,6
Is there traffic on the US 50 portion I'm going to take to go to my client meeting?,6
Are there any accidents from home to work?,6
Should I expect any traffic to go meet my friends tonight?,6
Is there traffic jam from here to Brooklyn bridge?,6
How's the traffic from here to Central Park?,6
Is the road to work congested?,6
Is there any traffic on US 20?,6
Show me the forecast for New Orleans,2
Will it be cloudy at my facebook event?,2
What's the weather like at my parents'?,2
Is the weather good for a walk today?,2
Is it cold outside? ,2
Is it going to rain tomorrow?,2
What's the weather like at Jo's place right now?,2
Can I walk to my next meeting?,2
Show me the weather forecast for my upcoming trip to Los Angeles,2
Will it rain in the next 30 minutes?,2
"What's the weather like in Paris, New York and Chicago?",2
What's the weather forecast for the rest of the week?,2
What's the weather like from New York to Boston?,2
How windy will it be tomorrow?,2
Should I have an umbrella with me tomorrow?,2
What will the weather be like at Jo's place this afternoon?,2
Can I go hiking this afternoon?,2
What is the temperature tomorrow morning?,2
Is it cold outside?,2
Should I take an umbrella to walk to my dinner?,2
What will the weather be like from Home to Jo's place?,2
What's the weather like in 3 days?,2
What will the weather be like from 8am to 2pm in Central Park?,2
What will the weather be like tomorrow morning?,2
Can I take my bike to go to work today?,2
What will the weather be like in London next week?,2
Is it windy today?,2
What's the weather like at work?,2
Is it going to be sunny next week?,2
I want the weather in Paris,2
It is a beautiful day for a walk?,2
What's it like outside?,2
What will the weather be like when I land in Paris?,2
Is it raining right now?,2
What will the weather be like at my Airbnb this week end?,2
Whats the weather like in Bordeaux?,2
What's the weather like near my upcoming event?,2
Will it rain tomorrow near my all day event?,2
I need the weather at Jo's place around 8 pm,2
What will the weather be like when I get out of my afternoon meeting?,2
Show me the forecast for my upcoming weekend,2
Should I take a rain coat today?,2
